X1,Player,Year.x,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year.y,Lg,Rd,Pk,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
34,Danny Green,2009,46,77.25,78.5,82,103,33,136,29,132,208,5.6,NA,NA,15,11.3,3.3,82,2009,NBA,2,46,CLE,22.009,G-F,us,UNC,2010,2020,626,25.5,9,3.5,1.6,1,0.8,0.425,0.457,0.405,0.815,39.8,0.12
35,Gani Lawal,2009,46,79.75,81,84,106,34.5,140.5,30,136,229,7.2,8.5,10,17,11.93,3.34,455,2010,NBA,2,46,PHO,21.234,F,us,Georgia Tech,2011,2011,1,2,0,0,0,0,0,NA,NA,NA,NA,0,-0.009
36,Jack McClinton,2009,51,71.75,72.75,74.5,96,36.5,132.5,30,126,185,6.2,NA,NA,13,10.44,3.21,473,2009,NBA,2,51,SAS,NA,NA,NA,Miami (FL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,A.J. Price,2009,52,72.5,74,75.75,97,31,128,26,123,193,12.4,NA,NA,11,10.99,3.22,272,2009,NBA,2,52,IND,22.267,G,us,UConn,2010,2015,261,15.1,5.8,1.4,2.2,0.5,0,0.38,0.439,0.316,0.742,4.7,0.058
38,Luke Harangody,2009,52,78.25,80,81.75,106,31,137,27,133,240,11.2,8.75,9.75,23,11.15,3.33,301,2010,NBA,2,52,BOS,22.179,F,us,Notre Dame,2011,2012,70,12.4,3.6,2.8,0.5,0.3,0.3,0.376,0.44,0.241,0.737,0.9,0.048
40,Jonny Flynn,2009,6,71.25,72.75,76,95.5,40,135.5,33,128.5,196,6.3,NA,NA,10,10.86,3.23,451,2009,NBA,1,6,MIN,20.144,G,us,Syracuse,2010,2012,163,22.9,9.2,1.9,3.9,0.7,0,0.4,0.42,0.338,0.809,-1.1,-0.015
41,Stephen Curry,2009,7,74,75.25,75.5,97,35.5,132.5,29.5,126.5,181,5.7,NA,NA,10,11.07,3.28,7,2009,NBA,1,7,GSW,21.108,G,us,Davidson,2010,2020,698,34.3,23.5,4.5,6.6,1.7,0.2,0.476,0.515,0.435,0.905,103.1,0.206
42,Jordan Hill,2009,8,81.25,82.25,85.5,108,35,143,31,139,232,6,NA,NA,11,12.23,3.3,130,2009,NBA,1,8,NYK,21.339,C-F,us,Arizona,2010,2017,409,18.8,7.9,5.8,0.8,0.4,0.7,0.497,0.499,0.136,0.699,16.4,0.102
50,John Wall,2010,1,74.75,76,81.25,101.5,39,140.5,30,131.5,196,5.6,8.25,9.5,NA,10.84,3.14,125,2010,NBA,1,1,WAS,19.296,G,us,Kentucky,2011,2019,573,35.9,19,4.3,9.2,1.7,0.7,0.433,0.457,0.324,0.781,44.3,0.104
51,Paul George,2010,10,79.75,80.75,83.25,107,NA,NA,NA,NA,214,5,8.5,9,4,NA,NA,35,2010,NBA,1,10,IND,20.058,F,us,Fresno State,2011,2019,604,33.8,19.8,6.4,3.3,1.8,0.4,0.433,0.47,0.378,0.844,65.2,0.153
