X1,Player,Year.x,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year.y,Lg,Rd,Pk,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
215,Kelly Olynyk,2013,13,82.75,84,81.75,108,29.5,137.5,24.5,132.5,234,6.7,8.5,10,5,11.42,3.59,71,2013,NBA,1,13,DAL,22.075,C-F,ca,Gonzaga,2014,2020,439,21.6,9.8,4.9,1.9,0.7,0.5,0.476,0.549,0.365,0.766,25.1,0.127
216,Shabazz Muhammad,2013,14,76.75,78.25,83,104.5,37,141.5,29.5,134,222,9,9,10,10,10.99,3.32,183,2013,NBA,1,14,UTA,20.231,F-G,us,UCLA,2014,2018,278,17.2,9,2.8,0.5,0.3,0.1,0.473,0.51,0.319,0.751,8.5,0.085
218,Shane Larkin,2013,18,70.25,71.5,70.75,89.5,44,133.5,34.5,124,171,3.8,7.5,8.75,12,10.64,3.08,313,2013,NBA,1,18,ATL,20.273,G,us,Miami (FL),2014,2018,256,19.1,5.5,1.9,2.9,0.9,0.1,0.422,0.454,0.336,0.777,4.4,0.044
219,Victor Oladipo,2013,2,75.25,76.25,81.25,100.5,42,142.5,33,133.5,213,6.6,8.75,9.25,15,10.69,3.25,171,2013,NBA,1,2,ORL,21.059,G,us,Indiana,2014,2019,402,33.2,17.5,4.6,4,1.7,0.5,0.443,0.482,0.352,0.793,24.2,0.087
220,Tony Snell,2013,20,78,79.25,83.5,105.5,36.5,142,30,135.5,198,4.9,9,9.5,7,10.36,3.25,247,2013,NBA,1,20,CHI,21.235,G-F,us,New Mexico,2014,2020,449,21.9,6.3,2.4,1,0.5,0.2,0.425,0.481,0.383,0.821,13.8,0.067
221,Gorgui Dieng,2013,21,81.75,82.75,87.5,111.5,NA,NA,NA,NA,230,5.4,9,10,NA,NA,NA,96,2013,NBA,1,21,UTA,23.166,C,sn,Louisville,2014,2020,454,22.6,8,6.2,1.4,0.8,1,0.506,0.519,0.335,0.789,24.6,0.115
222,Mason Plumlee,2013,22,83.25,84.5,83,108,36,144,30.5,138.5,238,6.2,9.75,9.5,14,10.89,3.29,47,2013,NBA,1,22,BRK,23.12,C-F,us,Duke,2014,2020,477,22,8.4,6.3,2.2,0.8,1,0.57,0.576,0.071,0.566,31.4,0.144
223,Solomon Hill,2013,23,77.5,79,81,103,37.5,140.5,29.5,132.5,226,7.6,9,10.5,14,10.77,3.19,256,2013,NBA,1,23,IND,22.107,F,us,Arizona,2014,2020,308,22.6,5.9,3.3,1.5,0.7,0.2,0.396,0.448,0.33,0.805,9.3,0.064
225,Reggie Bullock,2013,25,77.75,79,80.75,102,36.5,138.5,31,133,200,7,8.5,9,11,11.33,3.31,165,2013,NBA,1,25,LAC,22.109,G-F,us,UNC,2014,2019,272,19.3,6.8,2.1,1.1,0.5,0.1,0.434,0.495,0.392,0.828,9.7,0.089
226,Andre Roberson,2013,26,78.25,79,83,104.5,36.5,141,30,134.5,206,7.1,8.75,9.5,10,11.36,3.34,152,2013,NBA,1,26,MIN,21.211,G-F,us,Colorado,2014,2018,295,22.5,4.6,4,0.9,0.9,0.7,0.482,0.609,0.257,0.467,12.7,0.092
227,Rudy Gobert,2013,27,84.5,86,92.5,115,29,144,25,140,238,4.4,9.75,10,7,12.85,3.57,4,2013,NBA,1,27,DEN,21.006,C,fr,NA,2014,2020,413,28.8,11.1,10.6,1.3,0.7,2.2,0.628,0.629,0,0.631,53.6,0.216
228,Archie Goodwin,2013,29,75.75,77.25,81.5,102,36,138,30,132,189,4.6,8.5,9,1,10.75,3.27,360,2013,NBA,1,29,OKC,18.319,G,us,Kentucky,2014,2017,165,14.5,6.3,2,1.2,0.4,0.2,0.429,0.484,0.236,0.7,1.1,0.022
229,Otto Porter,2013,3,79.5,80.5,85.5,105.5,36,141.5,27,132.5,198,6.7,8.75,9.25,9,11.25,3.4,68,2013,NBA,1,3,WAS,20.029,F,us,Georgetown,2014,2020,406,26.9,11,5,1.5,1.2,0.4,0.481,0.527,0.403,0.791,29.2,0.128
230,Allen Crabbe,2013,31,77.25,78.25,83.25,103.5,36,139.5,30.5,134,197,4.7,8.25,8.5,10,10.67,3.32,218,2013,NBA,2,31,CLE,21.084,G-F,us,Cal,2014,2019,344,24.6,9.5,2.9,1.2,0.6,0.3,0.429,0.472,0.393,0.835,13.8,0.078
231,Carrick Felix,2013,33,76.75,78.25,81.25,103.5,38.5,142,32,135.5,203,3.3,8.5,9.5,15,11.16,3.25,276,2013,NBA,2,33,CLE,22.32,G,us,Arizona State,2014,2014,7,5.4,2.7,0.9,0.6,0,0,0.5,0.556,0.4,0.75,0,0.057
232,Isaiah Canaan,2013,34,71,72,76.5,94.5,40.5,135,33,127.5,188,5.9,8.25,9.5,16,10.98,3.22,319,2013,NBA,2,34,HOU,22.043,G,us,Murray State,2014,2019,235,20.4,8.1,1.9,1.9,0.6,0.1,0.371,0.404,0.351,0.836,4.3,0.043
233,Glen Rice,2013,35,76.5,77.75,81.25,101.5,40.5,142,33,134.5,211,8.5,8.5,9,10,10.99,3.25,422,2013,NBA,2,35,PHI,22.183,G,us,Georgia Tech,2014,2015,16,9.5,2.7,1.5,0.6,0.4,0.1,0.269,0.286,0.25,0.692,-0.2,-0.065
234,Ray McCallum,2013,36,72.25,73.75,75.25,96.5,40,136.5,30.5,127,191,7.3,8,8.75,5,10.82,3.25,337,2013,NBA,2,36,SAC,22.021,G,us,Detroit Mercy,2014,2016,154,18.2,6,2,2.4,0.5,0.2,0.408,0.43,0.335,0.711,2.1,0.035
235,Tony Mitchell,2013,37,79.5,80.75,86.5,106.5,38,144.5,33.5,140,236,5.6,9,10,13,11.82,3.52,39,2013,NBA,2,37,DET,21.086,F,us,University of North Texas,2014,2014,21,3.8,1,1.2,0.1,0.3,0.1,0.417,0.364,1,0.579,0.2,0.151
236,Nate Wolters,2013,38,75.5,76.75,75.75,98,NA,NA,NA,NA,196,5.5,8.25,8.75,8,NA,NA,351,2013,NBA,2,38,WAS,22.049,G,us,South Dakota State University,2014,2018,84,18.8,5.5,2.2,2.5,0.5,0.2,0.423,0.452,0.261,0.635,0.9,0.028
237,Jeff Withey,2013,39,82.75,84.5,86,110.5,29,139.5,26.5,137,222,8.7,9,9.75,10,12.49,3.47,32,2013,NBA,2,39,POR,23.118,C,us,Kansas,2014,2018,206,10.1,3.2,2.5,0.3,0.3,0.8,0.525,0.537,0.143,0.716,6.8,0.157
238,Cody Zeller,2013,4,82.75,84.25,82.75,106,37.5,143.5,35.5,141.5,230,4.8,8.5,10.5,17,10.82,3.15,51,2013,NBA,1,4,CHA,20.27,C-F,us,Indiana,2014,2020,366,23,8.3,5.9,1.4,0.7,0.8,0.512,0.517,0.28,0.739,24.6,0.14
239,Grant Jerrett,2013,40,80.75,82.25,86,109,34,143,28.5,137.5,232,10.1,8.5,9.25,2,11.85,3.51,412,2013,NBA,2,40,POR,19.359,F,us,Arizona,2015,2015,8,6.4,2,1.1,0.4,0.3,0.3,0.269,0.545,0.067,1,-0.1,-0.128
240,Jamaal Franklin,2013,41,76,77.25,83.25,103.5,NA,NA,NA,NA,191,8.3,8.5,8.25,NA,NA,NA,460,2013,NBA,2,41,MEM,21.347,G,us,San Diego State,2014,2015,24,7.3,1.8,1,0.4,0.2,0.1,0.415,0.393,0.462,1,0,-0.006
241,Pierre Jackson,2013,42,69.5,70.5,70,90,NA,NA,NA,NA,176,4.5,7.5,8.25,NA,NA,NA,366,2013,NBA,2,42,PHI,21.308,G,us,Baylor,2017,2017,8,10.5,4.4,1.1,2.4,0.3,0,0.333,0.357,0.273,0.857,0,0.021
242,Ricky Ledo,2013,43,76.75,78,79.25,102.5,33.5,136,27,129.5,197,10.3,8.5,9.25,4,10.72,3.32,416,2013,NBA,2,43,MIL,20.295,G,us,Providence,2014,2015,28,9.9,3.9,1.4,0.8,0.3,0,0.336,0.321,0.371,0.769,-0.6,-0.096
243,Mike Muscala,2013,44,82.25,83.5,85,108,33.5,141.5,28,136,230,6.8,8.5,9,5,11.76,3.44,97,2013,NBA,2,44,DAL,22.002,F-C,us,Bucknell,2014,2020,312,15.9,5.7,3.3,0.9,0.4,0.5,0.462,0.545,0.356,0.843,11.8,0.115
244,Erick Green,2013,46,73.5,75,77.75,98,NA,NA,NA,NA,178,4.4,8.5,9,5,NA,NA,388,2013,NBA,2,46,UTA,22.055,G,us,Virginia Tech,2015,2016,52,8.7,3.1,0.7,0.8,0.3,0,0.377,0.415,0.288,0.857,0.1,0.011
245,Ryan Kelly,2013,48,81.75,83.75,83.5,110,NA,NA,NA,NA,228,14.8,9,10,NA,NA,NA,306,2013,NBA,2,48,LAL,22.085,F,us,Duke,2014,2017,163,19.2,6,3.1,1.3,0.5,0.5,0.378,0.416,0.316,0.797,3,0.046
246,Erik Murphy,2013,49,80.75,81.5,82.5,108,29.5,137.5,24.5,132.5,240,8,8.75,9.75,13,12.19,3.57,423,2013,NBA,2,49,CHI,22.25,F,fr,Florida,2014,2014,24,2.6,0.3,0.3,0.1,0,0.2,0.231,0.3,0,NA,-0.1,-0.055
247,James Ennis,2013,50,77.75,79,83.5,104.5,36.5,141,29.5,134,201,4.5,8.5,8.75,7,11.55,3.4,140,2013,NBA,2,50,ATL,23.002,F,us,Cal State Long Beach,2015,2020,283,20.5,6.5,3.2,0.9,0.6,0.3,0.457,0.536,0.356,0.794,12,0.099
248,Lorenzo Brown,2013,52,76,77.25,79,100,34,134,28,128,189,4,8.25,8.5,8,11.78,3.4,459,2013,NBA,2,52,MIN,22.311,G,us,NC State,2014,2019,103,11.5,2.8,1.5,1.8,0.6,0.1,0.364,0.453,0.17,0.707,-0.2,-0.007
249,Colton Iverson,2013,53,82.5,84,86,110,NA,NA,NA,NA,263,9.6,9.25,9.5,12,NA,NA,501,2013,NBA,2,53,IND,24.004,C,us,Colorado State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,Peyton Siva,2013,56,71.5,73,75,93,41.5,134.5,33.5,126.5,181,6.1,8,9.75,15,10.59,3.16,436,2013,NBA,2,56,DET,22.252,G,us,Louisville,2014,2014,24,9.3,2.3,0.6,1.4,0.4,0,0.316,0.344,0.28,0.733,-0.2,-0.032
251,Deshaun Thomas,2013,58,77,79,82,104,32,136,28.5,132.5,220,9.1,8,8.75,5,12.94,3.53,504,2013,NBA,2,58,SAS,21.308,F,us,Ohio State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,Nerlens Noel,2013,6,82,83.75,87.75,110,NA,NA,NA,NA,206,4.2,9.5,10,NA,NA,NA,84,2013,NBA,1,6,NOH,19.083,C-F,us,Kentucky,2015,2020,306,22.7,8.1,6.4,1.2,1.4,1.4,0.525,0.526,0.25,0.634,17.2,0.119
253,Ben McLemore,2013,7,75.5,76.75,79.75,100.5,42,142.5,32.5,133,189,5,8.75,9.5,6,11.87,3.27,355,2013,NBA,1,7,SAC,20.141,G,us,Kansas,2014,2020,374,23.5,8.7,2.4,1.1,0.7,0.2,0.417,0.467,0.354,0.783,4.7,0.026
254,Kentavious Caldwell-Pope,2013,8,76.5,77.5,80,100.5,34.5,135,29,129.5,204,6.5,8.5,9,7,10.6,3.12,196,2013,NBA,1,8,DET,20.134,G,us,Georgia,2014,2020,476,29.7,11.8,3.3,1.6,1.2,0.2,0.412,0.471,0.345,0.799,24,0.082
255,Trey Burke,2013,9,71.75,73.25,77.5,97.5,36.5,134,29.5,127,187,6.9,8.25,8.75,3,11.2,3.16,274,2013,NBA,1,9,MIN,20.232,G,us,Michigan,2014,2019,361,23.6,10.9,2.1,3.6,0.6,0.1,0.408,0.445,0.34,0.8,10.2,0.058
274,Elfrid Payton,2014,10,74.5,75.75,80,98.5,35.5,134,31.5,130,185,5.7,8.75,9,NA,11.06,3.23,261,2014,NBA,1,10,PHI,20.129,G,us,Louisiana,2015,2020,346,29.5,11.1,4.3,6.5,1.3,0.3,0.453,0.477,0.307,0.632,13.4,0.063
275,Doug McDermott,2014,11,78.25,79.75,81.25,103,36.5,139.5,28.5,131.5,218,7.1,8.75,9.75,NA,11.1,3.29,232,2014,NBA,1,11,DEN,22.18,F,us,Creighton,2015,2020,347,19.9,7.7,2.1,0.8,0.2,0.1,0.457,0.498,0.403,0.824,10.5,0.073
276,Zach LaVine,2014,13,76.5,77.75,80.25,100,41.5,141.5,33.5,133.5,181,4.7,8.25,8.75,NA,10.42,3.19,315,2014,NBA,1,13,MIN,19.113,G,us,UCLA,2015,2020,300,30,16.2,3.4,3.5,0.9,0.2,0.446,0.48,0.374,0.822,8.2,0.044
277,T.J. Warren,2014,14,79,80.25,82.25,104,35.5,139.5,27,131,220,8,8.75,9,NA,11.1,3.26,184,2014,NBA,1,14,PHO,20.299,F,us,NC State,2015,2020,267,27.9,14.4,4.1,1.1,1,0.5,0.496,0.524,0.333,0.765,13.1,0.085
278,Adreian Payne,2014,15,81,81.75,88,109,NA,NA,NA,NA,239,7.6,9.25,9.5,NA,NA,NA,447,2014,NBA,1,15,ATL,23.133,F-C,us,Michigan State,2015,2018,107,13.1,4,2.9,0.6,0.4,0.3,0.406,0.43,0.254,0.68,-0.6,-0.019
279,James Young,2014,17,77.25,78.75,84,104,35.5,139.5,28,132,213,5.1,9,9.5,NA,NA,NA,307,2014,NBA,1,17,BOS,18.319,G-F,us,Kentucky,2015,2018,95,8.5,2.3,1,0.3,0.3,0.1,0.367,0.534,0.277,0.563,0.8,0.046
280,Tyler Ennis,2014,18,73,74.5,79.25,98,36,134,29,127,182,6.2,8.25,8.75,NA,11.12,3.3,356,2014,NBA,1,18,PHO,19.311,G,ca,Syracuse,2015,2018,186,12.6,4.2,1.3,1.9,0.5,0.1,0.419,0.458,0.317,0.768,1.3,0.026
281,Gary Harris,2014,19,74.5,76.5,78.75,96,NA,NA,NA,NA,205,4.6,8.5,9.5,NA,NA,NA,177,2014,NBA,1,19,CHI,19.29,G,us,Michigan State,2015,2020,318,28.5,12.4,2.6,2.1,1.2,0.2,0.459,0.524,0.365,0.801,16.2,0.086
282,Jordan Adams,2014,22,75.5,76.75,82,102,29.5,131.5,24.5,126.5,209,10.8,8.5,7.5,NA,12.13,3.5,239,2014,NBA,1,22,MEM,19.358,G,us,UCLA,2015,2016,32,8.2,3.2,0.9,0.6,0.6,0.2,0.402,0.409,0.385,0.607,0.4,0.07
283,Rodney Hood,2014,23,79.25,80.5,80.5,103,36,139,29,132,208,7.5,8.5,8.5,NA,11.21,3.38,167,2014,NBA,1,23,UTA,21.254,G-F,us,Duke,2015,2020,326,27.3,12.6,2.9,1.9,0.8,0.2,0.424,0.466,0.369,0.84,16.6,0.089
284,Shabazz Napier,2014,24,71,73,75.25,93,37.5,130.5,30.5,123.5,175,7.4,8.25,8.5,NA,11.6,3.2,248,2014,NBA,1,24,CHH,22.353,G,us,UConn,2015,2020,294,16.2,6.4,1.7,2.1,0.8,0.1,0.391,0.43,0.35,0.814,6.6,0.067
285,P.J. Hairston,2014,26,76.25,77.25,81,101,37,138,32,133,229,8.2,8.75,9.75,NA,11.12,3.32,367,2014,NBA,1,26,MIA,21.189,G-F,us,UNC,2015,2016,111,18,6,2.4,0.5,0.5,0.2,0.343,0.414,0.295,0.81,0.9,0.021
286,C.J. Wilcox,2014,28,75.5,77,81.75,100.5,37.5,138,31,131.5,201,6.5,8.75,9,NA,11.3,3.22,392,2014,NBA,1,28,LAC,23.184,G,us,Washington,2015,2017,66,5.7,2,0.5,0.5,0.2,0.1,0.37,0.397,0.333,0.813,0.1,0.007
287,Kyle Anderson,2014,30,79.5,80.5,86.75,107.5,NA,NA,NA,NA,230,13.4,8.25,8.75,NA,NA,NA,76,2014,NBA,1,30,SAS,20.284,F-G,us,UCLA,2015,2020,305,19.6,5.4,3.9,1.9,1,0.5,0.493,0.52,0.322,0.702,15.6,0.125
288,K.J. McDaniels,2014,32,76.5,78,83.25,102,37,139,33,135,196,4.5,8.75,9.75,NA,12.71,3.1,345,2014,NBA,2,32,PHI,21.142,G-F,us,Clemson,2015,2017,148,14.1,5.3,2.2,0.6,0.5,0.6,0.412,0.479,0.29,0.776,1.3,0.03
289,Joe Harris,2014,33,76.75,78.25,78,100,33.5,133.5,28.5,128.5,215,6.2,8.5,9.75,NA,11.11,3.31,178,2014,NBA,2,33,CLE,22.299,G,us,Virginia,2015,2020,268,22.8,9.5,2.9,1.5,0.4,0.2,0.478,0.538,0.432,0.796,10.9,0.086
290,Cleanthony Early,2014,34,78,79.25,82.75,101.5,40,141.5,34,135.5,209,4.5,8.5,9,NA,11.15,3.18,431,2014,NBA,2,34,NYK,23.076,F,us,Wichita State,2015,2016,56,14.3,4.3,2.2,0.8,0.5,0.3,0.346,0.4,0.263,0.75,-0.6,-0.039
291,Jarnell Stokes,2014,35,79,80.5,85.25,103.5,36,139.5,31,134.5,263,8.2,9.75,10.5,NA,11.92,3.26,9,2014,NBA,2,35,UTA,20.175,F-C,us,Tennessee,2015,2017,28,5.4,2.4,1.4,0.3,0.3,0.2,0.581,0.581,NA,0.531,0.6,0.202
292,Johnny O'Bryant,2014,36,79.25,80.5,86.25,105,35.5,140.5,31,136,257,10.8,9.25,9.5,NA,11.57,3.45,394,2014,NBA,2,36,MIL,21.03,F-C,us,LSU,2015,2018,147,11.5,3.5,2.4,0.5,0.2,0.1,0.402,0.406,0.36,0.663,0.2,0.006
293,DeAndre Daniels,2014,37,79.25,80.5,86,106.5,32,138.5,26.5,133,196,3.9,9.25,10.5,NA,11.46,3.44,507,2014,NBA,2,37,TOR,22.077,F,us,UConn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,Spencer Dinwiddie,2014,38,76.5,78,80.25,103,NA,NA,NA,NA,205,5.4,8.25,9,NA,NA,NA,127,2014,NBA,2,38,DET,21.086,G,us,Colorado,2015,2020,259,24.4,11.1,2.6,4.5,0.7,0.3,0.407,0.477,0.32,0.8,13.7,0.104
295,Jerami Grant,2014,39,78.5,79.75,86.75,107,NA,NA,NA,NA,214,3.8,9.25,9.25,NA,NA,NA,147,2014,NBA,2,39,PHI,20.111,F,us,Syracuse,2015,2020,389,24.1,8.8,3.9,1,0.6,1.2,0.461,0.522,0.331,0.654,18.3,0.094
296,Aaron Gordon,2014,4,79.5,80.75,83.75,105,39,144,32.5,137.5,220,5.1,8.75,10.5,NA,10.81,3.27,153,2014,NBA,1,4,ORL,18.288,F,us,Arizona,2015,2020,347,27.9,12.4,6.2,2.2,0.8,0.6,0.45,0.511,0.321,0.705,18.5,0.092
297,Glenn Robinson,2014,40,77.5,78.75,82,100.5,41.5,142,36.5,137,211,5.1,9,9.5,NA,11.22,3.15,234,2014,NBA,2,40,MIN,20.174,G-F,us,Michigan,2015,2020,225,14.8,4.5,2.2,0.6,0.4,0.2,0.441,0.482,0.361,0.735,5,0.072
298,Nick Johnson,2014,42,73.5,75,79.25,96.5,41.5,138,33.5,130,198,6.1,8.75,9.75,NA,10.8,3.27,446,2014,NBA,2,42,HOU,21.191,G,us,Arizona,2015,2015,28,9.4,2.6,1.4,0.4,0.3,0.1,0.347,0.389,0.238,0.68,-0.1,-0.02
299,Markel Brown,2014,44,74.5,75.5,80.75,100,43.5,143.5,36.5,136.5,184,4.2,8.25,9.75,NA,12.62,3.18,348,2014,NBA,2,44,MIN,22.154,G,us,Oklahoma State,2015,2018,113,15.9,5.2,2.1,1.2,0.6,0.2,0.38,0.427,0.295,0.781,1.1,0.029
300,Dwight Powell,2014,45,81.5,83,84.5,105,35,140,28.5,133.5,234,6.2,9,9.25,NA,11.28,3.2,14,2014,NBA,2,45,CHH,22.347,F-C,ca,Stanford,2015,2020,334,17.8,7.5,4.5,0.9,0.7,0.5,0.553,0.613,0.298,0.748,22.5,0.181
301,Jordan Clarkson,2014,46,75.25,77,80,98,38.5,136.5,33,131,186,4.3,8.25,9,NA,10.76,3.28,297,2014,NBA,2,46,WAS,22.024,G,us,Missouri,2015,2020,388,27.5,14.7,3.2,2.7,0.9,0.1,0.445,0.497,0.335,0.818,11.1,0.05
302,Russ Smith,2014,47,71.5,72.75,75.5,95,34,129,29.5,124.5,160,3.5,8.25,8.5,NA,11.57,3.27,421,2014,NBA,2,47,PHI,23.074,G,us,Louisville,2015,2016,27,4.9,2,0.6,0.7,0.3,0,0.319,0.387,0.188,0.769,-0.2,-0.068
303,Lamar Patterson,2014,48,76,77.25,83,101,32.5,133.5,27.5,128.5,226,10.8,9,9.25,NA,11.63,3.45,395,2014,NBA,2,48,MIL,22.324,G-F,us,Pitt,2016,2017,40,10.9,2.3,1.4,1.1,0.3,0.1,0.326,0.45,0.236,0.72,0.1,0.006
304,Cameron Bairstow,2014,49,80.75,81.75,84.75,107,33.5,140.5,31,138,252,8.7,8.75,9,NA,11.39,3.37,444,2014,NBA,2,49,CHI,23.207,F-C,au,New Mexico,2015,2016,36,4.6,1.2,1,0.2,0.1,0.1,0.296,0.306,0.2,0.846,-0.1,-0.021
305,Dante Exum,2014,5,76.5,78,81.5,103,34.5,137.5,31.5,134.5,196,6.4,8.5,9.5,NA,10.75,3.19,340,2014,NBA,1,5,UTA,18.353,G,au,NA,2015,2019,204,19.3,5.9,1.8,2.3,0.4,0.2,0.4,0.477,0.304,0.77,2.7,0.033
306,Alec Brown,2014,50,84.25,85.25,85.5,109,30,139,27,136,231,7.7,9.25,8.75,NA,12.05,3.48,508,2014,NBA,2,50,PHO,21.343,F-C,us,Green Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,Thanasis Antetokounmpo,2014,51,77.25,78.25,84,104.5,39.5,144,31.5,136,205,6.1,9,9.75,NA,11.39,3.18,1,2014,NBA,2,51,NYK,21.348,F,gr,NA,2016,2020,3,4,2.7,1,0.3,0,0,0.667,0.8,0,NA,0.1,0.304
308,Semaj Christon,2014,55,73.5,75.25,78.5,99,36.5,135.5,30.5,129.5,186,5.3,8.5,8.25,NA,11.55,3.32,396,2014,NBA,2,55,MIA,21.242,G,us,Xavier,2017,2017,64,15.2,2.9,1.4,2,0.4,0.1,0.345,0.406,0.19,0.548,0.1,0.006
309,Devyn Marble,2014,56,77,78.5,81,102,35,137,29,131,192,6.9,8.25,8.5,NA,11.32,3.28,438,2014,NBA,2,56,DEN,21.283,G-F,us,Iowa,2015,2016,44,10.4,2.2,1.6,0.7,0.5,0.1,0.304,0.377,0.222,0.375,-0.3,-0.028
310,Jordan McRae,2014,58,75.75,77.25,84.5,104,34.5,138.5,27.5,131.5,179,5.2,8.75,8.5,NA,11.07,3.39,292,2014,NBA,2,58,SAS,23.096,G,us,Tennessee,2016,2020,87,10.7,5,1.2,0.9,0.3,0.2,0.428,0.461,0.351,0.788,1,0.052
311,Xavier Thames,2014,59,74.25,75.5,76,96,32.5,128.5,29,125,187,6.4,8.25,9,NA,11.48,3.48,513,2014,NBA,2,59,TOR,23.164,G,us,San Diego State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,Marcus Smart,2014,6,74,75.25,81.25,99,36,135,33,132,227,10.6,9,8.75,NA,10.82,3.26,199,2014,NBA,1,6,BOS,20.117,G,us,Oklahoma State,2015,2020,346,28.5,9.3,3.5,3.9,1.5,0.4,0.372,0.436,0.311,0.764,16.6,0.081
313,Cory Jefferson,2014,60,79.75,81,84.5,105,37.5,142.5,33,138,218,5.3,8.75,9.75,NA,12.63,3.36,236,2014,NBA,2,60,SAS,23.188,F,us,Baylor,2015,2016,58,10,3.5,2.8,0.3,0.2,0.4,0.444,0.474,0.125,0.583,0.9,0.071
314,Julius Randle,2014,7,79.75,81,84,105.5,35.5,141,29,134.5,250,9.4,8.75,8.25,NA,11.45,3.27,151,2014,NBA,1,7,LAL,19.214,F-C,us,Kentucky,2015,2020,318,28.6,15.3,8.9,2.8,0.6,0.5,0.5,0.522,0.294,0.72,17.6,0.093
315,Nik Stauskas,2014,8,77.25,78.5,79.75,102,35.5,137.5,29,131,207,12.1,8.5,8.5,NA,10.79,3.27,352,2014,NBA,1,8,SAC,20.267,G,ca,Michigan,2015,2019,335,19.9,6.8,2.1,1.5,0.4,0.2,0.389,0.436,0.353,0.814,3.8,0.028
316,Noah Vonleh,2014,9,80,81.5,88.25,108,37,145,31,139,247,7.3,9.75,11.75,NA,11.45,3.28,221,2014,NBA,1,9,CHH,18.311,F,us,Indiana,2015,2020,304,17.6,5.1,5.4,0.8,0.4,0.4,0.456,0.496,0.312,0.686,8.6,0.077
333,Justise Winslow,2015,10,76.5,78.5,82.25,104.5,NA,NA,NA,NA,222,5.3,8.5,9.25,NA,NA,NA,277,2015,NBA,1,10,MIA,19.095,F,us,Duke,2016,2020,234,28.4,9,5.4,2.7,1,0.4,0.418,0.446,0.342,0.642,7.9,0.057
334,Myles Turner,2015,11,81.75,83.5,88,112,NA,NA,NA,NA,239,9.3,9.25,9.25,NA,NA,NA,56,2015,NBA,1,11,IND,19.097,C-F,us,Texas,2016,2020,284,28.1,12.9,6.7,1.2,0.7,2,0.495,0.522,0.368,0.771,22.5,0.135
335,Trey Lyles,2015,12,81,82.25,85.5,108,NA,NA,NA,NA,241,12.1,9.25,10.25,NA,NA,NA,222,2015,NBA,1,12,UTA,19.237,F,ca,Kentucky,2016,2020,294,17.6,7.5,4,1.1,0.4,0.3,0.43,0.496,0.328,0.706,8.3,0.077
336,Devin Booker,2015,13,76.5,77.75,80.25,102.5,34.5,137,27.5,130,206,8.3,8.75,9,8,10.22,3.28,283,2015,NBA,1,13,PHO,18.242,G,us,Kentucky,2016,2020,278,32.9,21.4,3.5,4.3,0.8,0.3,0.438,0.478,0.356,0.854,10.5,0.055
337,Cameron Payne,2015,14,72.75,73.5,79.25,97.5,35.5,133,30,127.5,183,6.3,8.5,8.25,NA,10.89,3.28,316,2015,NBA,1,14,OKC,20.326,G,us,Murray State,2016,2019,153,16,6,1.8,2.5,0.7,0.2,0.397,0.443,0.331,0.775,2.2,0.044
338,Kelly Oubre,2015,15,77.75,78.75,86.25,102.5,37,139.5,34.5,137,203,5.7,9,8.75,7,11.1,3.32,250,2015,NBA,1,15,ATL,19.203,F,us,Kansas,2016,2020,298,22.2,9.5,3.8,0.8,0.8,0.4,0.426,0.502,0.322,0.782,9.1,0.066
339,Terry Rozier,2015,16,72.75,74.25,80.25,98.5,38,136.5,33,131.5,190,5.6,8.25,8.75,7,10.88,3.15,172,2015,NBA,1,16,BOS,21.105,G,us,Louisville,2016,2020,278,20.2,7.9,3.6,2.4,0.7,0.2,0.382,0.407,0.354,0.774,10.2,0.087
340,Rashad Vaughn,2015,17,75.75,77,79,101,34,135,28,129,199,6.2,8,8.5,5,11.41,3.21,448,2015,NBA,1,17,MIL,18.317,G,us,UNLV,2016,2018,139,12,3,1.1,0.5,0.4,0.2,0.337,0.366,0.313,0.692,-0.6,-0.017
341,Sam Dekker,2015,18,79.75,81,83.5,106,34.5,140.5,25.5,131.5,219,7.5,8.5,9.25,5,10.71,3.28,195,2015,NBA,1,18,HOU,21.055,F,us,Wisconsin,2016,2019,200,15.5,5.5,3,0.8,0.5,0.2,0.478,0.57,0.288,0.606,5.4,0.083
342,Jerian Grant,2015,19,75.25,76.25,79.5,100,NA,NA,NA,NA,198,5.6,8.25,8.5,NA,NA,NA,200,2015,NBA,1,19,WAS,22.264,G,us,Notre Dame,2016,2019,273,18,6.1,1.9,2.9,0.7,0.1,0.412,0.465,0.324,0.771,8.3,0.081
