Player,Pk,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
DeAndre Liggins,53.0,77.0,78.25,83.0,103.5,31.0,134.5,27.0,130.5,202.0,5.0,8.75,10.0,6.0,,3.33,327,2011,ORL,23.089000000000002,G,us,Kentucky,2012.0,2018.0,177.0,10.8,2.0,1.4,0.7,0.6,0.2,0.402,0.43200000000000005,0.35200000000000004,0.5489999999999999,1.6,0.04
E'Twaun Moore,55.0,74.5,76.0,81.5,99.5,34.5,134.0,32.0,131.5,191.0,7.6,9.0,10.0,,11.12,3.31,273,2011,BOS,22.123,G-F,us,Purdue,2012.0,2020.0,516.0,21.6,8.0,2.0,1.8,0.7,0.2,0.45799999999999996,0.491,0.392,0.7440000000000001,13.5,0.057999999999999996
Isaiah Thomas,60.0,68.75,70.25,73.75,91.5,40.0,131.5,31.5,123.0,186.0,6.7,8.25,9.0,13.0,10.49,3.14,38,2011,SAC,22.141,G,us,Washington,2012.0,2020.0,488.0,29.3,18.6,2.5,5.1,0.9,0.1,0.43700000000000006,0.48700000000000004,0.36,0.8740000000000001,45.5,0.152
Brandon Knight,8.0,73.5,75.25,78.75,98.5,37.5,136.0,29.0,127.5,177.0,4.2,8.25,9.5,10.0,10.74,3.07,312,2011,DET,19.208,G,us,Kentucky,2012.0,2020.0,423.0,30.0,14.4,3.2,4.0,0.9,0.2,0.413,0.445,0.354,0.8109999999999999,11.6,0.044000000000000004
Kemba Walker,9.0,71.5,73.0,75.5,91.5,39.5,131.0,32.0,123.5,184.0,5.9,8.0,9.0,7.0,10.87,3.16,99,2011,CHA,21.051,G,us,UConn,2012.0,2020.0,610.0,34.1,19.9,3.8,5.5,1.3,0.4,0.418,0.452,0.358,0.8370000000000001,49.4,0.114
Anthony Davis,1.0,81.25,82.5,89.5,108.0,,,,,222.0,7.9,9.0,8.5,,,,5,2012,NOH,19.114,F-C,us,Kentucky,2013.0,2020.0,472.0,34.6,23.8,10.5,2.1,1.4,2.4,0.516,0.5329999999999999,0.311,0.797,73.2,0.215
Austin Rivers,10.0,75.5,77.0,79.25,96.5,37.5,134.0,32.5,129.0,203.0,6.2,8.5,10.0,1.0,11.54,3.32,334,2012,NOH,19.336,G,us,Duke,2013.0,2020.0,490.0,24.5,9.2,2.0,2.4,0.7,0.2,0.41700000000000004,0.46,0.34700000000000003,0.637,9.1,0.036000000000000004
Meyers Leonard,11.0,83.75,85.25,87.0,108.0,32.5,140.5,30.0,138.0,250.0,5.7,9.25,11.0,19.0,11.34,3.41,114,2012,POR,20.127,C-F,us,Illinois,2013.0,2020.0,399.0,15.6,5.6,3.8,0.9,0.2,0.3,0.48200000000000004,0.544,0.39,0.8240000000000001,14.1,0.10800000000000001
Jeremy Lamb,12.0,76.0,77.25,83.0,102.0,38.0,140.0,31.5,133.5,179.0,4.5,8.75,9.25,5.0,10.98,3.25,102,2012,HOU,20.034000000000002,G-F,us,UConn,2013.0,2020.0,439.0,20.6,10.3,3.7,1.6,0.7,0.4,0.444,0.5,0.33799999999999997,0.853,21.2,0.113
Kendall Marshall,13.0,75.25,76.25,77.5,96.0,37.0,133.0,31.0,127.0,198.0,7.8,8.5,9.0,,12.03,3.23,380,2012,PHO,20.319000000000003,G,us,UNC,2013.0,2016.0,160.0,19.3,5.0,1.6,4.9,0.7,0.1,0.39899999999999997,0.42200000000000004,0.37,0.611,1.0,0.015
John Henson,14.0,81.0,82.5,89.0,112.0,30.0,142.0,25.5,137.5,216.0,8.6,9.25,10.0,5.0,,,100,2012,MIL,21.188000000000002,C-F,us,UNC,2013.0,2020.0,406.0,20.1,7.8,5.4,1.1,0.5,1.5,0.539,0.544,0.267,0.569,19.3,0.114
Royce White,16.0,79.0,80.0,84.0,104.5,,,,,261.0,10.6,9.5,11.5,,,,414,2012,HOU,21.085,F,us,Iowa State,2014.0,2014.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-0.121
Tyler Zeller,17.0,83.25,84.5,84.0,104.5,34.0,138.5,30.0,134.5,247.0,6.4,9.0,9.75,16.0,11.13,3.4,103,2012,DAL,22.168000000000003,F-C,us,UNC,2013.0,2019.0,412.0,17.6,7.0,4.4,0.9,0.3,0.6,0.509,0.512,0.28600000000000003,0.764,17.1,0.113
Terrence Jones,18.0,80.25,81.5,86.25,107.0,34.5,141.5,29.5,136.5,252.0,7.7,9.0,10.0,12.0,11.57,3.4,70,2012,HOU,20.176,F,us,Kentucky,2013.0,2019.0,234.0,23.8,10.4,5.7,1.0,0.6,1.2,0.501,0.539,0.297,0.621,14.7,0.127
