Player,Pk,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
Evan Turner,2.0,77.75,79.0,80.0,103.5,34.5,138.0,27.5,131.0,214.0,8.6,8.75,9.5,9.0,11.06,3.27,288,2010,PHI,21.245,G,us,Ohio State,2011.0,2020.0,689.0,27.2,9.8,4.7,3.5,0.8,0.3,0.435,0.45899999999999996,0.29600000000000004,0.7809999999999999,20.7,0.053
James Anderson,20.0,76.75,77.75,80.5,104.0,35.5,139.5,30.0,134.0,208.0,7.9,9.0,7.0,14.0,11.86,3.19,332,2010,SAS,21.096,G-F,us,Oklahoma State,2011.0,2016.0,247.0,17.5,5.8,2.3,1.2,0.5,0.2,0.41100000000000003,0.495,0.321,0.755,3.3,0.037000000000000005
Craig Brackins,21.0,80.5,81.75,84.0,109.0,35.0,144.0,26.0,135.0,229.0,7.9,9.5,11.25,6.0,11.65,3.39,419,2010,OKC,22.264,F,us,Iowa State,2011.0,2012.0,17.0,7.1,1.8,1.1,0.5,0.1,0.1,0.265,0.28600000000000003,0.214,0.5,-0.2,-0.08900000000000001
Trevor Booker,23.0,78.25,79.5,81.75,106.0,36.0,142.0,31.0,137.0,236.0,7.3,9.0,9.5,22.0,11.15,3.1,91,2010,MIN,22.217,F,us,Clemson,2011.0,2018.0,532.0,20.4,6.9,5.5,1.1,0.7,0.5,0.515,0.534,0.305,0.636,26.2,0.11599999999999999
Dominique Jones,25.0,75.25,77.0,81.25,101.0,32.5,133.5,26.0,127.0,216.0,5.9,9.0,10.25,19.0,10.88,3.31,374,2010,MEM,21.256999999999998,G,us,University of South Florida,2011.0,2013.0,80.0,9.3,3.1,1.4,1.8,0.4,0.1,0.366,0.39299999999999996,0.095,0.7290000000000001,0.3,0.017
Jordan Crawford,27.0,75.0,76.5,79.0,101.0,34.5,135.5,31.5,132.5,198.0,4.9,8.0,9.0,7.0,11.03,3.37,311,2010,NJN,21.249000000000002,G,us,Xavier,2011.0,2018.0,281.0,24.4,12.2,2.5,3.1,0.7,0.1,0.41100000000000003,0.45799999999999996,0.317,0.826,6.3,0.044000000000000004
Daniel Orton,29.0,80.75,81.5,88.25,110.5,30.5,141.0,24.0,134.5,269.0,13.8,8.5,9.75,13.0,12.32,3.39,149,2010,ORL,19.327,C-F,us,Kentucky,2012.0,2014.0,51.0,10.6,2.8,2.5,0.5,0.4,0.5,0.485,0.49,0.0,0.597,1.0,0.09300000000000001
Derrick Favors,3.0,80.75,82.25,88.0,110.0,35.5,145.5,31.5,141.5,245.0,6.5,8.75,9.25,14.0,11.74,3.25,46,2010,NJN,18.349,F-C,us,Georgia Tech,2011.0,2020.0,635.0,25.7,11.6,7.2,1.1,0.8,1.3,0.525,0.535,0.20800000000000002,0.664,49.5,0.146
Lazar Hayward,30.0,76.5,77.75,84.75,102.0,36.0,138.0,31.0,133.0,226.0,7.5,9.25,9.5,15.0,10.87,3.31,370,2010,WAS,23.215999999999998,F,us,Marquette,2011.0,2013.0,72.0,8.2,2.9,1.3,0.5,0.2,0.1,0.34700000000000003,0.395,0.26899999999999996,0.767,0.2,0.02
Dexter Pittman,32.0,81.5,83.5,90.0,111.0,,,,,303.0,20.8,10.25,10.5,,,,244,2010,MIA,22.119,C,us,Texas,2011.0,2014.0,50.0,6.9,2.3,1.8,0.2,0.2,0.2,0.45,0.45,,0.545,0.5,0.068
Hassan Whiteside,33.0,82.5,83.5,91.0,113.0,31.5,144.5,27.0,140.0,227.0,5.5,8.25,10.25,12.0,11.83,3.54,10,2010,SAC,21.016,C,us,Marshall,2011.0,2020.0,348.0,26.0,13.4,11.4,0.6,0.6,2.3,0.575,0.5770000000000001,0.222,0.596,37.3,0.198
Armon Johnson,34.0,74.0,75.25,80.0,99.5,38.5,138.0,31.5,131.0,195.0,5.6,8.25,9.25,18.0,11.25,3.19,452,2010,POR,21.125999999999998,G,us,Nevada,2011.0,2012.0,47.0,8.5,3.3,1.0,1.2,0.2,0.0,0.45799999999999996,0.465,0.4,0.679,-0.1,-0.015
Darington Hobson,37.0,77.25,78.5,81.25,104.5,34.0,138.5,29.0,133.5,204.0,6.2,8.25,9.0,,11.68,3.25,408,2010,MIL,22.274,G,us,New Mexico,2012.0,2012.0,5.0,7.8,0.8,0.6,1.2,0.0,0.0,0.154,0.28600000000000003,0.0,,-0.2,-0.225
Andy Rautins,38.0,76.25,77.0,79.0,100.0,30.5,130.5,23.5,123.5,192.0,6.2,8.0,9.75,8.0,11.27,3.49,405,2010,NYK,23.24,G,us,Syracuse,2011.0,2011.0,5.0,4.8,1.6,0.2,0.6,0.2,0.0,0.429,0.667,0.25,0.5,-0.2,-0.314
Wesley Johnson,4.0,78.25,79.25,85.0,106.0,37.0,143.0,32.0,138.0,206.0,4.6,9.0,9.5,16.0,11.43,3.14,330,2010,MIN,22.354,F-G,us,Syracuse,2011.0,2019.0,609.0,22.1,7.0,3.2,1.1,0.8,0.7,0.40399999999999997,0.46,0.337,0.741,10.7,0.038
Lance Stephenson,40.0,76.5,77.75,82.5,103.0,33.0,136.0,27.0,130.0,227.0,9.3,9.0,10.25,10.0,11.39,3.38,245,2010,IND,19.297,G-F,us,Cincinnati,2011.0,2019.0,508.0,23.4,8.6,4.2,2.9,0.7,0.1,0.444,0.494,0.315,0.685,16.7,0.068
Jarvis Varnado,41.0,80.25,82.0,87.5,109.5,32.5,142.0,29.5,139.0,210.0,9.5,9.25,9.5,3.0,11.61,3.37,164,2010,MIA,22.12,F,us,Mississippi State,2013.0,2014.0,37.0,10.7,2.9,1.9,0.4,0.3,0.8,0.5820000000000001,0.5820000000000001,,0.518,0.7,0.08900000000000001
Devin Ebanks,43.0,79.0,80.25,84.25,107.5,32.0,139.5,23.5,131.0,208.0,7.9,8.25,9.0,6.0,11.69,3.44,336,2010,LAL,20.244,F,us,West Virginia,2011.0,2013.0,63.0,11.3,3.6,1.9,0.4,0.3,0.2,0.385,0.418,0.222,0.722,0.5,0.035
Jerome Jordan,44.0,83.5,84.75,89.25,113.0,,,,,244.0,6.9,9.0,10.25,,,,23,2010,MIL,23.274,C,jm,Tulsa,2012.0,2015.0,65.0,7.6,2.8,2.0,0.3,0.1,0.3,0.528,0.528,,0.852,1.7,0.168
DeMarcus Cousins,5.0,81.5,82.75,89.75,113.0,27.5,140.5,23.5,136.5,292.0,16.4,9.25,10.0,,11.4,3.55,89,2010,SAC,19.32,C-F,us,Kentucky,2011.0,2019.0,565.0,32.0,21.2,10.9,3.2,1.4,1.2,0.461,0.47700000000000004,0.332,0.737,44.1,0.11699999999999999
Solomon Alabi,50.0,83.5,84.75,89.0,113.0,26.0,139.0,22.5,135.5,237.0,5.0,9.25,9.25,10.0,13.2,3.68,389,2010,DAL,22.1,C,ng,Florida State,2011.0,2012.0,26.0,7.0,1.5,2.3,0.2,0.2,0.4,0.314,0.314,,0.7,0.0,0.01
Willie Warren,54.0,74.5,75.75,78.0,99.5,31.5,131.0,23.0,122.5,208.0,7.6,8.5,9.5,10.0,11.21,3.5,252,2010,LAC,20.25,G,us,Oklahoma,2011.0,2011.0,19.0,7.1,1.9,0.6,1.4,0.3,0.0,0.371,0.4,0.33299999999999996,0.75,0.2,0.065
Derrick Caracter,58.0,80.25,81.5,84.25,107.25,30.5,137.75,25.0,132.25,280.0,12.8,9.0,10.25,22.0,12.78,3.61,275,2010,LAL,22.055999999999997,F,us,Texas-El Paso,2011.0,2011.0,41.0,5.2,2.0,1.0,0.2,0.1,0.2,0.485,0.485,,0.7390000000000001,0.3,0.057
Ekpe Udoh,6.0,80.75,81.75,88.5,106.5,33.5,140.0,31.0,137.5,237.0,8.0,9.5,8.75,10.0,11.15,3.29,169,2010,GSW,23.041,C-F,us,Baylor,2011.0,2019.0,384.0,14.8,3.5,2.9,0.7,0.5,1.1,0.45299999999999996,0.455,0.0,0.718,10.4,0.08800000000000001
Greg Monroe,7.0,81.75,83.0,86.25,108.5,29.0,137.5,25.0,133.5,247.0,11.2,8.75,9.5,15.0,12.1,3.35,54,2010,DET,20.025,C-F,us,Georgetown,2011.0,2019.0,632.0,27.7,13.2,8.3,2.1,1.1,0.6,0.514,0.515,0.059000000000000004,0.7040000000000001,49.7,0.136
Al-Farouq Aminu,8.0,79.25,80.5,87.25,108.5,33.5,142.0,27.0,135.5,216.0,8.2,9.5,9.5,13.0,11.29,3.3,214,2010,LAC,19.281,F,us,Wake Forest,2011.0,2020.0,676.0,25.2,7.7,6.1,1.2,1.0,0.6,0.42200000000000004,0.46799999999999997,0.33799999999999997,0.745,27.5,0.078
Gordon Hayward,9.0,78.75,80.0,79.75,103.0,34.5,137.5,30.5,133.5,211.0,6.9,8.5,9.25,10.0,11.73,3.22,67,2010,UTA,20.098,F-G,us,Butler,2011.0,2020.0,594.0,30.6,15.1,4.2,3.4,1.0,0.4,0.446,0.483,0.366,0.821,48.4,0.128
Jimmer Fredette,10.0,72.75,74.5,76.5,96.5,33.0,129.5,28.0,124.5,196.0,7.7,8.0,8.5,14.0,10.42,3.21,339,2011,MIL,22.123,G,us,BYU,2012.0,2019.0,241.0,13.3,6.0,1.0,1.4,0.4,0.0,0.409,0.434,0.37200000000000005,0.879,2.2,0.033
Klay Thompson,11.0,77.75,79.25,81.0,103.5,31.5,135.0,26.5,130.0,206.0,8.0,8.75,9.25,5.0,10.99,3.24,110,2011,GSW,21.14,G-F,us,Washington State,2012.0,2019.0,615.0,33.1,19.5,3.5,2.3,0.9,0.5,0.45899999999999996,0.491,0.419,0.848,46.8,0.11
Alec Burks,12.0,77.0,78.0,82.0,103.5,36.0,139.5,29.0,132.5,193.0,5.1,9.0,8.25,5.0,10.96,3.17,246,2011,UTA,19.343,G,us,Colorado,2012.0,2020.0,432.0,21.1,9.5,3.0,1.7,0.6,0.2,0.423,0.444,0.35700000000000004,0.7709999999999999,13.0,0.068
Markieff Morris,13.0,79.75,81.25,82.75,106.5,31.5,138.0,27.0,133.5,241.0,10.2,8.5,8.25,11.0,,3.4,229,2011,PHO,21.299,F,us,Kansas,2012.0,2020.0,586.0,26.0,11.6,5.5,1.7,0.9,0.6,0.449,0.48100000000000004,0.33799999999999997,0.777,23.6,0.07400000000000001
Marcus Morris,14.0,79.0,80.75,82.0,105.5,33.0,138.5,29.0,134.5,230.0,8.0,8.25,8.5,11.0,,3.15,158,2011,HOU,21.299,F,us,Kansas,2012.0,2020.0,552.0,26.6,11.6,4.6,1.5,0.7,0.3,0.431,0.474,0.36200000000000004,0.75,27.4,0.09
Kawhi Leonard,15.0,78.0,79.0,87.0,106.0,32.0,138.0,25.5,131.5,227.0,5.4,9.75,11.25,3.0,11.45,3.15,3,2011,IND,19.364,F,us,San Diego State,2012.0,2020.0,473.0,30.8,17.8,6.3,2.4,1.8,0.7,0.494,0.537,0.38299999999999995,0.848,66.9,0.22
Iman Shumpert,17.0,76.25,77.5,81.5,99.5,42.0,141.5,36.5,136.0,222.0,6.5,9.0,9.0,18.0,11.1,3.18,281,2011,NYK,21.002,G,us,Georgia Tech,2012.0,2019.0,446.0,25.2,7.3,3.4,1.9,1.1,0.3,0.39299999999999996,0.43799999999999994,0.34,0.7659999999999999,12.9,0.055
Chris Singleton,18.0,79.75,81.0,85.0,103.5,37.5,141.0,30.5,134.0,230.0,7.4,9.25,10.0,15.0,11.33,3.09,321,2011,WAS,21.219,F,us,Florida State,2012.0,2014.0,148.0,17.6,4.1,3.2,0.6,0.8,0.4,0.376,0.4,0.319,0.633,2.3,0.042
Tobias Harris,19.0,78.5,79.75,83.0,103.5,37.5,141.0,31.5,135.0,223.0,8.4,8.75,9.0,12.0,10.96,3.17,95,2011,CHA,18.347,F,us,Tennessee,2012.0,2020.0,551.0,30.4,15.5,6.0,1.9,0.7,0.5,0.47100000000000003,0.513,0.364,0.8220000000000001,40.1,0.115
Derrick Williams,2.0,79.25,80.75,85.5,108.0,34.5,142.5,29.0,137.0,248.0,10.8,9.0,9.75,19.0,11.03,3.23,224,2011,MIN,20.034000000000002,F,us,Arizona,2012.0,2018.0,428.0,20.7,8.9,4.0,0.7,0.5,0.3,0.434,0.484,0.3,0.71,14.1,0.076
Nolan Smith,21.0,73.5,75.5,77.5,99.0,34.0,133.0,28.5,127.5,188.0,5.6,8.5,9.25,9.0,11.05,3.17,426,2011,POR,22.338,G,us,Duke,2012.0,2013.0,84.0,9.9,3.3,1.0,1.2,0.3,0.0,0.371,0.40700000000000003,0.26,0.7140000000000001,-0.8,-0.047
Kenneth Faried,22.0,78.0,79.5,84.0,108.0,35.0,143.0,30.5,138.5,225.0,6.3,8.5,10.25,16.0,11.35,3.26,30,2011,DEN,21.221,F,us,Morehead State University,2012.0,2019.0,478.0,24.5,11.4,8.1,1.0,0.7,0.8,0.546,0.55,0.222,0.654,38.8,0.159
Jordan Hamilton,26.0,78.75,80.5,81.5,104.0,32.0,136.0,25.0,129.0,228.0,9.8,9.0,9.25,7.0,11.47,3.3,241,2011,DAL,20.265,G-F,us,Texas,2012.0,2016.0,151.0,13.9,5.9,2.8,0.8,0.5,0.2,0.408,0.451,0.35700000000000004,0.67,3.0,0.069
Norris Cole,28.0,72.25,73.75,74.25,95.5,38.5,134.0,29.5,125.0,174.0,4.7,8.5,9.5,11.0,10.07,3.22,371,2011,CHI,22.258000000000003,G,us,Cleveland State University,2012.0,2017.0,360.0,22.3,7.0,2.0,2.7,0.8,0.1,0.40700000000000003,0.436,0.324,0.743,3.0,0.018000000000000002
Cory Joseph,29.0,74.0,75.25,77.5,99.0,35.0,134.0,27.5,126.5,186.0,9.7,8.5,10.5,5.0,10.75,3.27,155,2011,SAS,19.312,G,ca,Texas,2012.0,2020.0,535.0,21.4,6.9,2.6,2.8,0.8,0.2,0.44299999999999995,0.47700000000000004,0.326,0.764,21.8,0.091
Enes Kanter,3.0,81.75,83.25,85.5,109.5,32.5,142.0,26.0,135.5,259.0,5.9,9.5,10.75,14.0,11.3,3.26,43,2011,UTA,19.038,C,ch,,2012.0,2020.0,584.0,22.2,11.9,7.6,0.8,0.4,0.4,0.541,0.5479999999999999,0.292,0.778,39.7,0.147
Jimmy Butler,30.0,78.0,79.75,79.5,101.5,39.0,140.5,32.0,133.5,222.0,5.4,9.0,9.0,14.0,11.92,3.15,13,2011,CHI,21.287,F-G,us,Marquette,2012.0,2020.0,526.0,32.9,16.7,4.9,3.5,1.6,0.5,0.45299999999999996,0.486,0.34,0.8340000000000001,66.6,0.184
Justin Harper,32.0,80.0,80.75,83.75,106.0,33.0,139.0,28.5,134.5,228.0,4.0,9.0,9.25,19.0,11.92,3.3,417,2011,CLE,21.302,F,us,University of Richmond,2012.0,2017.0,22.0,6.8,2.0,0.8,0.2,0.1,0.1,0.34,0.41700000000000004,0.276,0.33299999999999996,-0.3,-0.09300000000000001
Kyle Singler,33.0,79.5,80.5,82.1,106.0,30.0,136.0,23.0,129.0,228.0,10.0,8.25,8.75,10.0,11.22,3.21,262,2011,DET,23.055,F,us,Duke,2013.0,2018.0,356.0,21.9,6.5,2.9,0.8,0.6,0.3,0.418,0.45799999999999996,0.36200000000000004,0.7859999999999999,10.0,0.062
Shelvin Mack,34.0,73.0,74.5,79.5,96.5,39.0,135.5,32.0,128.5,209.0,7.1,8.25,9.25,17.0,11.23,3.18,270,2011,WAS,21.066999999999997,G,us,Butler,2012.0,2019.0,456.0,18.4,6.6,2.0,3.1,0.7,0.1,0.423,0.47,0.33,0.731,10.3,0.059000000000000004
Tyler Honeycutt,35.0,78.75,80.25,81.0,105.0,37.0,142.0,30.0,135.0,187.0,5.3,8.5,9.5,,11.68,3.07,424,2011,SAC,20.348,F,us,UCLA,2012.0,2013.0,24.0,5.0,1.2,1.0,0.4,0.2,0.2,0.314,0.33299999999999996,0.2,0.7140000000000001,-0.1,-0.049
Jordan Williams,36.0,79.75,81.0,84.25,106.5,30.5,137.0,25.0,131.5,247.0,12.1,9.25,10.0,10.0,12.74,3.45,136,2011,NJN,20.26,F,us,Maryland,2012.0,2012.0,43.0,14.8,4.6,3.6,0.3,0.5,0.3,0.507,0.507,,0.652,1.3,0.10099999999999999
Trey Thompkins,37.0,80.5,81.75,85.0,107.5,30.5,138.0,27.5,135.0,239.0,15.5,9.25,9.75,15.0,11.72,3.41,399,2011,LAC,21.039,F,us,Georgia,2012.0,2012.0,24.0,5.0,2.4,1.0,0.1,0.1,0.1,0.39299999999999996,0.41700000000000004,0.308,0.7140000000000001,0.0,0.004
Chandler Parsons,38.0,80.75,81.75,81.5,104.5,31.5,136.0,25.5,130.0,221.0,7.0,8.25,10.0,4.0,11.05,3.29,121,2011,HOU,22.246,F,us,Florida,2012.0,2019.0,435.0,30.3,12.8,4.5,2.8,0.9,0.3,0.462,0.522,0.373,0.713,29.0,0.106
Jeremy Tyler,39.0,81.0,82.5,89.0,110.5,33.5,144.0,28.0,138.5,262.0,13.4,9.25,9.0,10.0,11.26,3.29,383,2011,CHA,20.007,C,us,,2012.0,2014.0,104.0,9.9,3.6,2.6,0.2,0.2,0.4,0.45,0.451,0.0,0.557,0.3,0.013999999999999999
Tristan Thompson,4.0,79.5,80.75,85.25,108.5,35.0,143.5,30.0,138.5,227.0,6.2,8.75,9.25,9.0,10.92,3.26,78,2011,CLE,20.107,F-C,ca,Texas,2012.0,2020.0,568.0,27.9,9.3,8.6,0.9,0.5,0.7,0.52,0.521,0.091,0.608,40.8,0.124
Jon Leuer,40.0,82.0,83.5,84.0,105.5,36.5,142.0,29.5,135.0,223.0,5.4,8.75,9.75,17.0,10.82,3.36,118,2011,MIL,22.045,F,us,Wisconsin,2012.0,2019.0,377.0,15.8,6.4,3.8,0.8,0.4,0.3,0.484,0.52,0.32799999999999996,0.767,13.2,0.107
Darius Morris,41.0,75.25,77.25,79.5,102.0,32.0,134.0,24.5,126.5,190.0,5.3,8.75,10.0,12.0,11.0,3.2,454,2011,LAL,20.176,G,us,Michigan,2012.0,2015.0,132.0,11.1,3.3,1.0,1.4,0.3,0.0,0.384,0.41600000000000004,0.322,0.63,-0.3,-0.01
Malcolm Lee,43.0,76.0,77.5,81.75,101.5,35.5,137.0,30.0,131.5,198.0,5.9,8.5,9.5,17.0,11.2,3.09,326,2011,CHI,21.037,G,us,UCLA,2012.0,2015.0,36.0,14.8,3.9,1.8,1.4,0.6,0.3,0.382,0.41200000000000003,0.294,0.703,0.4,0.04
Charles Jenkins,44.0,73.5,75.25,79.5,96.5,34.0,130.5,29.5,126.0,216.0,4.3,8.5,9.0,16.0,11.68,3.18,375,2011,GSW,22.12,G,us,Hofstra,2012.0,2013.0,110.0,12.1,3.7,0.9,1.9,0.4,0.1,0.434,0.449,0.182,0.754,0.5,0.017
Andrew Goudelock,46.0,73.25,74.75,76.25,96.5,37.0,133.5,32.5,129.0,198.0,9.9,8.25,9.25,4.0,10.33,3.1,400,2011,LAL,22.203000000000003,G,us,College of Charleston,2012.0,2016.0,49.0,9.7,4.0,0.7,0.5,0.2,0.0,0.39299999999999996,0.429,0.345,0.875,0.0,0.003
Travis Leslie,47.0,75.0,76.25,82.5,103.0,40.5,143.5,33.0,136.0,205.0,8.1,8.75,9.25,10.0,11.0,3.13,268,2011,LAC,21.090999999999998,G,us,Georgia,2012.0,2012.0,10.0,4.5,1.4,0.9,0.5,0.2,0.2,0.35700000000000004,0.35700000000000004,,0.444,0.1,0.06
Keith Benson,48.0,82.0,83.0,87.75,109.5,36.0,145.5,31.5,141.0,217.0,6.1,9.5,11.0,12.0,11.88,3.35,462,2011,ATL,22.319000000000003,C,us,Oakland,2012.0,2012.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-0.005
Josh Selby,49.0,73.75,75.0,77.25,98.0,42.0,140.0,29.5,127.5,195.0,7.9,8.5,9.0,5.0,11.13,3.2,415,2011,MEM,20.093,G,us,Kansas,2012.0,2013.0,38.0,7.8,2.2,0.5,0.9,0.2,0.0,0.33,0.384,0.14300000000000002,0.72,-0.7,-0.113
