Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
514,2015,NBA,1,26,SAS,Nikola Milutinov\milutni01,20.182,C,rs,,,,,,,,,,,,,,,,
515,2015,NBA,2,39,CHO,Juan Pablo Vaulet\vauleju01,19.099,F,ar,,,,,,,,,,,,,,,,
516,2015,NBA,2,42,UTA,Olivier Hanlan\hanlaol01,22.135,G,ca,Boston College,,,,,,,,,,,,,,,
517,2015,NBA,2,45,BOS,Marcus Thornton\thornma02,22.141,G,us,College of William & Mary,,,,,,,,,,,,,,,
518,2015,NBA,2,47,PHI,Artūras Gudaitis\gudaiar01,22.011,C,lt,,,,,,,,,,,,,,,,
519,2015,NBA,2,49,WAS,Aaron White\whiteaa01,22.293,F,us,Iowa,,,,,,,,,,,,,,,
520,2015,NBA,2,50,ATL,Marcus Eriksson\eriksma01,21.207,G,se,,,,,,,,,,,,,,,,
521,2015,NBA,2,51,ORL,Tyler Harvey\harvety01,21.348,G,us,Eastern Washington University,,,,,,,,,,,,,,,
522,2015,NBA,2,52,DAL,Satnam Singh Bhamara\singhsa01,19.202,C,in,,,,,,,,,,,,,,,,
523,2015,NBA,2,53,CLE,Sir'Dominic Pointer\pointsi01,23.055,G-F,us,St. John's,,,,,,,,,,,,,,,
524,2015,NBA,2,54,UTA,Dani Díez de la Faya\diezda01,22.084,F,es,,,,,,,,,,,,,,,,
525,2015,NBA,2,55,SAS,Cady Lalanne\lalanca01,23.069,C,ht,UMass,,,,,,,,,,,,,,,
526,2015,NBA,2,57,DEN,Nikola Radičević\radicni01,21.066,G,rs,,,,,,,,,,,,,,,,
527,2015,NBA,2,58,PHI,J.P. Tokoto\tokotjp01,21.288,G-F,us,UNC,,,,,,,,,,,,,,,
528,2015,NBA,2,59,ATL,Dimitrios Agravanis\agravdi01,20.192,F-C,gr,,,,,,,,,,,,,,,,
529,2015,NBA,2,60,PHI,Luka Mitrović\mitrolu01,22.101,F,rs,,,,,,,,,,,,,,,,
530,2016,NBA,2,35,BOS,Rade Zagorac\zagorra01,20.321,G-F,rs,,,,,,,,,,,,,,,,
531,2016,NBA,2,39,NOP,David Michineau\michida01,22.023,G,gp,,,,,,,,,,,,,,,,
532,2016,NBA,2,44,ATL,Isaïa Cordinier\cordiis01,19.212,G,fr,,,,,,,,,,,,,,,,
533,2016,NBA,2,53,DEN,Petr Cornelie\cornepe01,20.338,F,fr,,,,,,,,,,,,,,,,
534,2016,NBA,2,57,MEM,Wang Zhelin\sheliwa01,22.16,C,cn,,,,,,,,,,,,,,,,
535,2016,NBA,2,59,SAC,Isaiah Cousins\cousiis01,22.108,G,us,Oklahoma,,,,,,,,,,,,,,,
536,2017,NBA,1,25,ORL,Anžejs Pasečņiks\pasecan01,21.19,C,lv,,,,,,,,,,,,,,,,
537,2017,NBA,2,50,PHI,Mathias Lessort\lessoma01,21.272,F,mq,,,,,,,,,,,,,,,,
538,2017,NBA,2,57,BRK,Aleksandar Vezenkov\vezenal01,21.326,F,cy,,,,,,,,,,,,,,,,
539,2017,NBA,2,58,NYK,Ognjen Jaramaz\jaramog01,21.3,G,yu,,,,,,,,,,,,,,,,
540,2017,NBA,2,60,ATL,Alpha Kaba\kabaal01,21.15,F,fr,,,,,,,,,,,,,,,,
